epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.38029,0.7708,3.00918,1.16171,0.00315,1,0.31517,0.14032,0.61319,3.80033,1.36554,1.429e-05,1.429e-05,1.429e-05
2,13.9878,1.04825,3.18982,1.56411,0.00318,1,0.53067,0.19165,0.60999,3.77555,1.33374,4.20212e-05,4.20212e-05,4.20212e-05
3,18.7029,1.25694,3.26135,1.62455,0.00324,1,0.33325,0.1889,0.61668,3.72837,1.25016,6.86206e-05,6.86206e-05,6.86206e-05
4,24.2673,1.02106,2.98288,1.43283,0.00353,1,0.36285,0.27586,0.53454,3.71046,1.17943,9.40882e-05,9.40882e-05,9.40882e-05
5,30.0169,0.59587,2.88871,1.08102,0.00426,1,0.38946,0.26604,0.47706,3.70199,1.15496,0.000118424,0.000118424,0.000118424
6,35.7083,0.7486,2.40432,1.12301,0.00469,1,0.42051,0.33446,0.44391,3.63139,1.07729,0.000141628,0.000141628,0.000141628
7,42.2601,1.462,2.50446,1.6265,0.00502,1,0.43433,0.35877,0.41873,3.54187,1.06551,0.000163701,0.000163701,0.000163701
8,48.3202,0.96938,2.35802,1.31043,0.00539,1,0.42643,0.34932,0.49165,3.44704,1.09374,0.000184641,0.000184641,0.000184641
9,53.775,0.58538,1.97605,1.10949,0.00564,1,0.45328,0.37064,0.48578,3.38793,1.11549,0.00020445,0.00020445,0.00020445
10,59.1275,0.65529,2.19702,1.12319,0.00573,1,0.46986,0.35693,0.50672,3.37093,1.15958,0.000223127,0.000223127,0.000223127
11,64.7156,0.88821,1.93478,1.31326,0.00596,1,0.50856,0.37075,0.48746,3.42038,1.14516,0.000240672,0.000240672,0.000240672
12,70.2163,0.72698,1.80402,1.24929,0.00597,1,0.50856,0.35677,0.51653,3.45465,1.13096,0.000257086,0.000257086,0.000257086
13,75.7347,0.58521,1.7708,1.19129,0.00599,1,0.48092,0.31001,0.58748,3.45609,1.18422,0.000272367,0.000272367,0.000272367
14,81.1203,0.65467,1.75265,1.11457,0.00585,1,0.50856,0.32895,0.68237,3.53754,1.24069,0.000286517,0.000286517,0.000286517
15,86.4722,0.54285,1.54987,1.08513,0.00547,1,0.55278,0.37559,0.68388,3.52898,1.22659,0.000299536,0.000299536,0.000299536
