epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,496.523,1.34317,0.93177,1.08883,0.57033,0.33845,0.27573,0.13604,1.55688,3.01117,1.17225,0.00083764,0.00083764,0.00083764
43,508.805,1.33629,0.89929,1.09559,0.61885,0.40155,0.25296,0.12647,1.52802,2.65485,1.14821,0.00083368,0.00083368,0.00083368
44,519.169,1.32155,0.88005,1.0801,0.71334,0.37307,0.34998,0.17513,1.61011,2.47724,1.1899,0.00082972,0.00082972,0.00082972
45,530.176,1.32953,0.89569,1.09583,0.55271,0.38914,0.32017,0.15854,1.58831,2.12401,1.18772,0.00082576,0.00082576,0.00082576
46,541.117,1.33317,0.88996,1.09483,0.658,0.37872,0.37545,0.18209,1.58391,3.09894,1.20461,0.0008218,0.0008218,0.0008218
47,552.866,1.31459,0.84947,1.09108,0.60719,0.48341,0.37178,0.16643,1.69227,3.49406,1.21782,0.00081784,0.00081784,0.00081784
48,564.453,1.32666,0.8987,1.08913,0.60344,0.44432,0.32087,0.15895,1.60636,3.29254,1.19626,0.00081388,0.00081388,0.00081388
49,575.86,1.34658,0.87187,1.10739,0.58752,0.3825,0.29392,0.13583,1.58771,2.93339,1.21915,0.00080992,0.00080992,0.00080992
50,587.557,1.30272,0.83324,1.08871,0.6299,0.41019,0.40298,0.1861,1.68936,3.05827,1.21024,0.00080596,0.00080596,0.00080596
51,599.252,1.31856,0.84492,1.08544,0.64096,0.41065,0.36805,0.1928,1.50986,2.21142,1.16008,0.000802,0.000802,0.000802
52,610.565,1.32307,0.85605,1.09481,0.63835,0.41508,0.31746,0.14417,1.65522,2.92426,1.20253,0.00079804,0.00079804,0.00079804
53,621.584,1.30454,0.84701,1.09308,0.43468,0.35973,0.29407,0.1418,1.60378,3.05163,1.19086,0.00079408,0.00079408,0.00079408
54,633.957,1.30994,0.87496,1.08796,0.55948,0.4019,0.32587,0.15078,1.664,3.00055,1.21988,0.00079012,0.00079012,0.00079012
55,645.118,1.30977,0.84958,1.08549,0.49707,0.42823,0.3317,0.14883,1.69112,2.75719,1.20643,0.00078616,0.00078616,0.00078616
56,655.975,1.28765,0.81425,1.07476,0.68372,0.47211,0.32991,0.1424,1.70384,2.9037,1.22964,0.0007822,0.0007822,0.0007822
57,666.998,1.29347,0.81475,1.06898,0.63378,0.43514,0.35025,0.15778,1.53976,3.27511,1.18556,0.00077824,0.00077824,0.00077824
58,678.575,1.31316,0.8296,1.07647,0.76277,0.46972,0.40176,0.19133,1.55026,2.59815,1.18068,0.00077428,0.00077428,0.00077428
59,689.467,1.30374,0.83786,1.08393,0.61253,0.48664,0.40091,0.19307,1.68582,2.69538,1.26285,0.00077032,0.00077032,0.00077032
60,700.919,1.29264,0.79382,1.06314,0.7356,0.41265,0.34948,0.16448,1.61227,2.71984,1.21762,0.00076636,0.00076636,0.00076636
61,712.382,1.26762,0.77868,1.06405,0.74636,0.36754,0.28971,0.13596,1.69998,3.01701,1.22928,0.0007624,0.0007624,0.0007624
62,723.987,1.29562,0.81656,1.07601,0.60905,0.43096,0.32741,0.15965,1.61692,3.31316,1.19111,0.00075844,0.00075844,0.00075844
63,734.573,1.34467,0.84252,1.09434,0.62168,0.42505,0.39352,0.1834,1.69471,3.49614,1.22775,0.00075448,0.00075448,0.00075448
64,745.716,1.29169,0.80854,1.08088,0.62799,0.44385,0.37462,0.18358,1.48426,2.99323,1.14202,0.00075052,0.00075052,0.00075052
65,756.902,1.27943,0.76502,1.06522,0.67344,0.39578,0.4049,0.19877,1.5879,3.48688,1.18661,0.00074656,0.00074656,0.00074656
66,768.337,1.27342,0.78413,1.06646,0.6341,0.4079,0.38405,0.18703,1.54944,2.95253,1.16739,0.0007426,0.0007426,0.0007426
67,779.134,1.24322,0.77274,1.06087,0.63469,0.47449,0.40177,0.18671,1.50001,2.72935,1.15443,0.00073864,0.00073864,0.00073864
68,790.215,1.25733,0.74728,1.06565,0.63619,0.45612,0.44805,0.21001,1.59565,3.02951,1.20042,0.00073468,0.00073468,0.00073468
69,801.84,1.31497,0.82818,1.08395,0.70489,0.42416,0.44507,0.21201,1.54946,2.20693,1.18908,0.00073072,0.00073072,0.00073072
70,813.747,1.29271,0.8129,1.06937,0.55151,0.45064,0.4115,0.17857,1.71893,2.1692,1.20046,0.00072676,0.00072676,0.00072676
71,824.739,1.28627,0.78097,1.06939,0.78464,0.41033,0.44653,0.21994,1.66543,1.91456,1.20863,0.0007228,0.0007228,0.0007228
72,835.82,1.29278,0.80392,1.07958,0.8513,0.43943,0.48337,0.23978,1.67151,2.00436,1.20563,0.00071884,0.00071884,0.00071884
73,847.879,1.29781,0.80101,1.08864,0.62126,0.41364,0.34499,0.17657,1.52437,2.21296,1.1671,0.00071488,0.00071488,0.00071488
74,858.31,1.27387,0.81287,1.08448,0.55732,0.38057,0.32695,0.16425,1.56451,2.65848,1.18845,0.00071092,0.00071092,0.00071092
75,869.217,1.27329,0.77224,1.05951,0.64045,0.39757,0.40075,0.20205,1.61834,2.98193,1.17012,0.00070696,0.00070696,0.00070696
76,880.955,1.29523,0.79971,1.072,0.68648,0.42338,0.40254,0.20888,1.68995,2.51782,1.17963,0.000703,0.000703,0.000703
77,892.081,1.28438,0.77398,1.06854,0.76532,0.44382,0.40982,0.20538,1.55082,2.88602,1.15098,0.00069904,0.00069904,0.00069904
78,902.75,1.25472,0.7406,1.06694,0.65084,0.46367,0.41674,0.17884,1.64518,2.15346,1.18114,0.00069508,0.00069508,0.00069508
79,913.793,1.25986,0.76647,1.06233,0.59852,0.52278,0.39513,0.18363,1.61445,4.02426,1.1749,0.00069112,0.00069112,0.00069112
80,924.984,1.23716,0.74315,1.05592,0.61927,0.44551,0.3513,0.17989,1.50145,3.02213,1.14488,0.00068716,0.00068716,0.00068716
81,937.181,1.26684,0.78859,1.06962,0.65445,0.45085,0.36461,0.1789,1.71481,3.94476,1.21841,0.0006832,0.0006832,0.0006832
82,947.476,1.23716,0.75329,1.06323,0.60136,0.41488,0.41977,0.21508,1.5988,2.91884,1.20185,0.00067924,0.00067924,0.00067924
83,958.389,1.25741,0.75868,1.057,0.75032,0.44533,0.44928,0.22541,1.58323,3.50608,1.17824,0.00067528,0.00067528,0.00067528
84,969.567,1.26371,0.76302,1.05949,0.65952,0.48491,0.46856,0.24074,1.49,2.76623,1.1485,0.00067132,0.00067132,0.00067132
85,980.843,1.22357,0.74389,1.04944,0.54762,0.49555,0.39183,0.18968,1.45038,2.84781,1.13086,0.00066736,0.00066736,0.00066736
86,992.192,1.23205,0.75622,1.06395,0.74927,0.49499,0.39881,0.18117,1.67368,2.51989,1.18934,0.0006634,0.0006634,0.0006634
87,1003.31,1.23234,0.73576,1.05214,0.63725,0.48723,0.40378,0.21013,1.47475,3.40773,1.14952,0.00065944,0.00065944,0.00065944
