epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.3474,1.5729,4.51604,1.27425,0,0,0,0,1.0233,4.6048,1.62379,2.104e-05,2.104e-05,2.104e-05
2,92.3023,1.64759,4.55226,1.27065,0,0,0,0,0.62861,4.49056,1.34675,4.64027e-05,4.64027e-05,4.64027e-05
3,143.787,1.45617,4.42203,1.09241,0,0,0,0,0.55304,4.40305,1.26929,7.07239e-05,7.07239e-05,7.07239e-05
4,192.706,1.42157,4.22624,1.0603,0,0,0,0,0.53988,4.41091,1.20328,9.40036e-05,9.40036e-05,9.40036e-05
5,235.458,1.43302,4.14168,1.084,0,0,0,0,0.52581,4.41946,1.17818,0.000116242,0.000116242,0.000116242
6,277.569,1.40396,4.00644,1.09189,0,0,0,0,0.57167,4.44159,1.2039,0.000137439,0.000137439,0.000137439
7,319.9,1.33445,3.90903,1.03044,0.03947,0.075,0.01229,0.01128,0.59739,4.42959,1.27928,0.000157594,0.000157594,0.000157594
8,367.483,1.38222,3.94722,1.02322,0.05303,0.175,0.081,0.06443,0.56035,4.37716,1.2627,0.000176708,0.000176708,0.000176708
9,417.577,1.38985,3.80405,1.0173,0.04261,0.475,0.22939,0.18639,0.57303,4.23999,1.31846,0.00019478,0.00019478,0.00019478
10,461.036,1.41006,3.58897,1.02432,0.0362,0.725,0.23989,0.19021,0.58012,4.21082,1.34475,0.000211811,0.000211811,0.000211811
11,501.416,1.41765,3.51555,1.01018,0.02856,0.725,0.18298,0.10994,0.62666,4.25198,1.33792,0.0002278,0.0002278,0.0002278
12,552.068,1.47607,3.52036,1.02201,0.02764,0.5,0.19452,0.11575,0.61662,4.19539,1.32576,0.000242748,0.000242748,0.000242748
13,588.104,1.39675,3.20695,1.01204,0.02865,0.75,0.19462,0.12174,0.64164,4.19885,1.34961,0.000256654,0.000256654,0.000256654
14,624.23,1.34428,3.28628,0.99784,0.02389,0.5,0.19432,0.13404,0.69282,4.21034,1.39699,0.000269519,0.000269519,0.000269519
15,676.371,1.34471,3.14827,0.99062,0.08413,0.625,0.25468,0.20819,0.68678,4.2456,1.41633,0.000281343,0.000281343,0.000281343
16,744.208,1.37543,2.99196,0.98435,0.10584,0.625,0.27598,0.20757,0.66246,4.25301,1.3485,0.000292125,0.000292125,0.000292125
17,788.178,1.37671,2.87016,1.00216,0.11518,1,0.59913,0.45278,0.6143,4.21055,1.31023,0.000301865,0.000301865,0.000301865
18,839.737,1.42317,2.84473,1.00913,0.08999,1,0.6412,0.27396,0.76417,4.08996,1.41297,0.000310564,0.000310564,0.000310564
19,886.4,1.4216,2.9182,0.99559,0.88799,0.15,0.43125,0.21877,0.79121,3.95657,1.47775,0.000318222,0.000318222,0.000318222
20,927.323,1.37435,2.58966,1.00826,0.91638,0.14932,0.37703,0.31443,0.70477,3.88684,1.44818,0.000324838,0.000324838,0.000324838
21,976.829,1.36201,2.4214,0.97521,0.91976,0.15927,0.40429,0.33788,0.721,3.88568,1.44891,0.000317704,0.000317704,0.000317704
22,1026.31,1.35083,2.51846,0.9968,0.89799,0.10959,0.41751,0.35267,0.74322,3.91807,1.46267,0.000307289,0.000307289,0.000307289
23,1077.67,1.43194,2.30075,1.03728,0.91462,0.14509,0.44954,0.39102,0.75265,3.87884,1.46904,0.000296874,0.000296874,0.000296874
24,1133.8,1.31132,2.11604,1.01863,0.90002,0.18807,0.46026,0.41055,0.73998,3.43125,1.48679,0.00028646,0.00028646,0.00028646
25,1180.91,1.37974,2.24347,1.02476,0.88883,0.2,0.46493,0.39841,0.7747,3.33469,1.54242,0.000276045,0.000276045,0.000276045
26,1228.29,1.32117,2.24712,1.00566,0.87931,0.2,0.46226,0.41187,0.79051,3.41421,1.55513,0.00026563,0.00026563,0.00026563
27,1284.13,1.37927,2.07915,1.00889,0.8883,0.2,0.41804,0.35001,0.79785,3.56486,1.52005,0.000255215,0.000255215,0.000255215
28,1334.23,1.34029,2.09827,1.01285,0.88866,0.15,0.3918,0.30927,0.73658,3.59611,1.40385,0.0002448,0.0002448,0.0002448
29,1372.32,1.43091,2.04603,1.01748,0.89365,0.15,0.40788,0.31983,0.79995,3.5038,1.44198,0.000234386,0.000234386,0.000234386
30,1415.86,1.29504,1.83743,1.01766,0.88759,0.175,0.42579,0.33718,0.86033,3.47684,1.47172,0.000223971,0.000223971,0.000223971
31,1458.69,1.1891,1.85388,0.96532,0.91413,0.19164,0.47626,0.3796,0.86465,3.54762,1.46159,0.000213556,0.000213556,0.000213556
32,1499.62,1.34452,1.79447,1.00664,0.90893,0.17457,0.40949,0.3328,0.77939,3.58967,1.36127,0.000203141,0.000203141,0.000203141
33,1540.09,1.17959,2.31963,0.99457,0.91699,0.20125,0.39941,0.33449,0.72286,3.54123,1.32893,0.000192726,0.000192726,0.000192726
34,1582.52,1.11941,1.83446,0.95002,0.92105,0.21709,0.34116,0.28207,0.67026,3.37341,1.28829,0.000182312,0.000182312,0.000182312
35,1623.24,1.26373,1.61393,1.00297,0.92263,0.22325,0.35019,0.2948,0.65088,3.19446,1.27243,0.000171897,0.000171897,0.000171897
36,1662.8,1.24115,1.8932,1.00312,0.92212,0.22126,0.32519,0.26539,0.62345,3.32337,1.22596,0.000161482,0.000161482,0.000161482
37,1703.28,1.28439,1.75165,1.01175,0.92043,0.21467,0.42279,0.36255,0.62077,3.45687,1.22051,0.000151067,0.000151067,0.000151067
38,1743.66,1.24978,1.74082,0.97802,0.11918,1,0.4344,0.37867,0.61946,3.53407,1.22301,0.000140652,0.000140652,0.000140652
39,1782.27,1.28185,1.70947,0.99705,0.12205,1,0.43102,0.37577,0.63054,3.52983,1.23174,0.000130238,0.000130238,0.000130238
40,1824.76,1.24587,1.73773,0.99819,0.10993,1,0.44193,0.38494,0.63756,3.30371,1.25027,0.000119823,0.000119823,0.000119823
41,1865.31,1.36341,1.86225,1.02111,0.99567,0.175,0.35468,0.3048,0.63642,3.12515,1.26758,0.000109408,0.000109408,0.000109408
42,1906.44,1.2966,1.45758,1.04204,0.70088,0.45,0.34572,0.28652,0.63525,2.82716,1.28934,9.89932e-05,9.89932e-05,9.89932e-05
43,1945.44,1.28454,1.51351,1.00747,0.71085,0.47398,0.34219,0.28417,0.62112,2.66555,1.28821,8.85784e-05,8.85784e-05,8.85784e-05
44,1986.57,1.23279,1.42737,0.99001,0.70097,0.5,0.35618,0.30189,0.58759,2.57797,1.27251,7.81636e-05,7.81636e-05,7.81636e-05
45,2030.2,1.1956,1.41648,0.99844,0.70758,0.5,0.35778,0.3014,0.58132,2.60727,1.26408,6.77488e-05,6.77488e-05,6.77488e-05
46,2068.13,1.24895,1.34499,1.00769,0.70396,0.5,0.3512,0.29496,0.58665,2.65328,1.27052,5.7334e-05,5.7334e-05,5.7334e-05
47,2108.81,1.1881,1.41805,1.01394,0.70635,0.5,0.3486,0.28909,0.60382,2.71346,1.29188,4.69192e-05,4.69192e-05,4.69192e-05
48,2147.46,1.15982,1.33751,1.03252,0.70922,0.4753,0.3403,0.27993,0.6281,2.946,1.29531,3.65044e-05,3.65044e-05,3.65044e-05
