epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.6694,1.84589,4.88736,0.00651,0,0,0,0,0.68027,4.72426,0.00285,3.682e-05,3.682e-05,3.682e-05
2,186.438,1.59891,4.74159,0.0053,0,0,0,0,0.73123,4.71322,0.00307,7.73378e-05,7.73378e-05,7.73378e-05
3,271.251,1.64448,4.70697,0.00535,0,0,0,0,0.7182,4.67094,0.00302,0.000116189,0.000116189,0.000116189
4,352.285,1.4215,4.46892,0.00469,0.02143,0.06328,0.03115,0.0234,0.63794,4.5567,0.00276,0.000153374,0.000153374,0.000153374
5,435.45,1.38321,4.33401,0.00476,0.0237,0.15062,0.07357,0.05988,0.71394,4.36407,0.00313,0.000188893,0.000188893,0.000188893
6,520.474,1.44611,4.15215,0.00494,0.08939,0.24235,0.06929,0.05507,0.86183,4.22337,0.00389,0.000222745,0.000222745,0.000222745
7,602.504,1.36145,3.96532,0.00483,0.03555,0.32081,0.06583,0.04741,0.80834,3.97954,0.00374,0.000254931,0.000254931,0.000254931
8,683.822,1.39445,3.74093,0.00494,0.01981,0.35078,0.06829,0.04419,0.88055,3.70803,0.00442,0.000285451,0.000285451,0.000285451
9,765.394,1.36226,3.49588,0.00461,0.93274,0.04891,0.07438,0.05446,0.86761,3.09997,0.00393,0.000314304,0.000314304,0.000314304
10,845.785,1.37781,3.42504,0.00499,0.92018,0.07531,0.15058,0.13059,0.87968,2.85351,0.0039,0.000341491,0.000341491,0.000341491
11,927.869,1.37762,3.27268,0.00495,0.8343,0.10692,0.21311,0.16737,0.86933,2.65229,0.00418,0.000367011,0.000367011,0.000367011
12,1010.26,1.35923,3.14037,0.00475,0.86438,0.2239,0.24473,0.19909,0.83085,2.44322,0.00393,0.000390865,0.000390865,0.000390865
13,1093.2,1.41768,3.05675,0.00499,0.82806,0.27139,0.27935,0.22813,0.86318,2.3145,0.00407,0.000401022,0.000401022,0.000401022
