epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.611,2.13583,4.92781,0.00705,0,0,0,0,0.63251,4.53364,0.00232,1.578e-05,1.578e-05,1.578e-05
2,91.4856,2.02673,4.84941,0.00714,0,0,0,0,0.63488,4.52315,0.00231,3.6091e-05,3.6091e-05,3.6091e-05
3,128.034,1.8828,4.8061,0.00651,0,0,0,0,0.67047,4.52351,0.00243,5.55687e-05,5.55687e-05,5.55687e-05
4,167.059,1.74688,4.69626,0.00561,0,0,0,0,0.7358,4.51341,0.00267,7.42133e-05,7.42133e-05,7.42133e-05
5,216.071,1.5782,4.60921,0.00522,0,0,0,0,0.73285,4.50392,0.00265,9.20248e-05,9.20248e-05,9.20248e-05
6,256.571,1.59776,4.6054,0.00505,0,0,0,0,0.69448,4.47268,0.0025,0.000109003,0.000109003,0.000109003
7,297.805,1.57997,4.51958,0.00491,0,0,0,0,0.66717,4.35852,0.00246,0.000125148,0.000125148,0.000125148
8,339.284,1.60488,4.45985,0.00475,0,0,0,0,0.66041,4.24907,0.00249,0.00014046,0.00014046,0.00014046
9,381.457,1.59889,4.35591,0.00449,0.04361,0.03092,0.01793,0.01431,0.71872,4.16434,0.00279,0.000154939,0.000154939,0.000154939
10,423.635,1.49421,4.26402,0.0042,0.11503,0.10003,0.03941,0.03209,0.7758,4.05054,0.00297,0.000168584,0.000168584,0.000168584
11,468.81,1.51684,4.1408,0.00446,0.04214,0.20422,0.06828,0.0531,0.85753,3.94402,0.00327,0.000181396,0.000181396,0.000181396
12,511.708,1.51969,4.08232,0.00464,0.0328,0.21758,0.07042,0.05556,0.87429,3.85856,0.00349,0.000193375,0.000193375,0.000193375
13,548.192,1.44259,3.95848,0.0044,0.02891,0.20704,0.06599,0.05048,0.87307,3.70949,0.00357,0.000204521,0.000204521,0.000204521
14,587.298,1.37405,3.81108,0.00438,0.0286,0.21293,0.06491,0.05007,0.85361,3.57217,0.00344,0.000214834,0.000214834,0.000214834
15,628.312,1.5313,3.81508,0.00421,0.02857,0.23593,0.06649,0.05129,0.85245,3.31306,0.00335,0.000224314,0.000224314,0.000224314
16,670.597,1.49924,3.85466,0.00438,0.02932,0.26465,0.07068,0.05376,0.88278,3.17213,0.00354,0.00023296,0.00023296,0.00023296
17,711.883,1.45258,3.68153,0.00422,0.17807,0.18538,0.0782,0.05802,0.89428,3.07772,0.00368,0.000240773,0.000240773,0.000240773
18,748.978,1.44022,3.6197,0.00424,0.50823,0.06585,0.08472,0.06468,0.84992,2.87837,0.00345,0.000247753,0.000247753,0.000247753
