epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.5961,1.6754,4.90478,0.0064,0,0,0,0,1.71591,5.14835,0.00603,4.208e-05,4.208e-05,4.208e-05
2,174.435,1.43001,4.68247,0.00561,0,0,0,0,1.6699,5.11986,0.00587,8.76495e-05,8.76495e-05,8.76495e-05
3,261.409,1.46479,4.54462,0.00476,0,0,0,0,1.58741,5.05073,0.00547,0.000131344,0.000131344,0.000131344
4,348.603,1.36222,4.35113,0.00483,0.01235,0.00782,0.00601,0.00407,1.63909,4.99954,0.00568,0.000173164,0.000173164,0.000173164
5,432.191,1.25495,4.22967,0.00483,0.00153,0.00782,0.00564,0.00439,1.61169,4.95745,0.00568,0.00021311,0.00021311,0.00021311
6,523.035,1.34511,3.97028,0.00488,0.00627,0.01928,0.00474,0.00329,1.53617,4.96966,0.00542,0.000251181,0.000251181,0.000251181
7,608.723,1.2404,3.76466,0.00514,0.00691,0.05393,0.00562,0.00402,1.51166,4.93026,0.00537,0.000287377,0.000287377,0.000287377
8,693.813,1.35493,3.50367,0.00485,0.00916,0.10334,0.00849,0.00615,1.54563,4.88342,0.00553,0.000321698,0.000321698,0.000321698
9,780.604,1.38711,3.3848,0.00452,0.01078,0.11227,0.01377,0.00873,1.62234,4.79958,0.00578,0.000354145,0.000354145,0.000354145
10,865.948,1.35558,3.16272,0.00488,0.0117,0.11557,0.02337,0.01399,1.61685,4.67971,0.0057,0.000384717,0.000384717,0.000384717
11,951.659,1.34011,3.06958,0.00477,0.85538,0.02405,0.03868,0.02438,1.57966,4.52373,0.00559,0.000413415,0.000413415,0.000413415
12,1037.43,1.32391,2.87118,0.00476,0.84132,0.05918,0.05072,0.0329,1.58288,4.3937,0.0056,0.000411437,0.000411437,0.000411437
13,1126.56,1.41536,2.72064,0.00442,0.85777,0.05401,0.06027,0.03683,1.62502,4.36779,0.00568,0.000401022,0.000401022,0.000401022
14,1212.93,1.35529,2.76691,0.00456,0.84387,0.0798,0.07168,0.04413,1.63491,4.29309,0.00577,0.000390608,0.000390608,0.000390608
15,1299.49,1.29533,2.46562,0.00457,0.66736,0.09523,0.08131,0.05073,1.6012,4.25019,0.00574,0.000380193,0.000380193,0.000380193
16,1386.4,1.34209,2.55102,0.00471,0.59354,0.11436,0.08853,0.05609,1.57598,4.33405,0.00564,0.000369778,0.000369778,0.000369778
17,1473.17,1.40326,2.56651,0.00494,0.5669,0.11458,0.09235,0.05484,1.58058,4.44929,0.00561,0.000359363,0.000359363,0.000359363
18,1555.96,1.41808,2.76266,0.00504,0.55912,0.11903,0.08833,0.05249,1.58434,4.51127,0.00574,0.000348948,0.000348948,0.000348948
19,1641.23,1.22261,2.29963,0.0045,0.63736,0.12787,0.09997,0.05105,1.56534,4.46632,0.00576,0.000338534,0.000338534,0.000338534
20,1730.54,1.35573,2.26328,0.00458,0.64821,0.12836,0.09648,0.05544,1.53188,4.27623,0.00556,0.000328119,0.000328119,0.000328119
21,1819.95,1.40299,2.28455,0.00451,0.67061,0.13762,0.10046,0.05711,1.56105,4.24812,0.00559,0.000317704,0.000317704,0.000317704
22,1904.06,1.27239,2.21463,0.00452,0.65296,0.16176,0.11113,0.06173,1.58585,4.2305,0.00563,0.000307289,0.000307289,0.000307289
23,1989.6,1.36492,2.47952,0.00471,0.53214,0.19133,0.13618,0.06765,1.58051,4.27145,0.00566,0.000296874,0.000296874,0.000296874
24,2080.87,1.28593,2.23448,0.00455,0.53053,0.17135,0.13007,0.07011,1.63769,4.33886,0.00593,0.00028646,0.00028646,0.00028646
25,2164.32,1.24122,2.14152,0.00473,0.49081,0.19163,0.11678,0.06332,1.64949,4.34274,0.00599,0.000276045,0.000276045,0.000276045
26,2250.77,1.31558,2.15626,0.00437,0.50225,0.19428,0.11902,0.06605,1.63554,4.26503,0.00595,0.00026563,0.00026563,0.00026563
27,2338.14,1.26103,2.01136,0.0043,0.49864,0.19311,0.12502,0.06805,1.6268,4.14527,0.00587,0.000255215,0.000255215,0.000255215
28,2422.52,1.2915,2.30221,0.0045,0.50932,0.1645,0.12234,0.06822,1.61942,4.02663,0.00578,0.0002448,0.0002448,0.0002448
29,2511.01,1.26208,1.95322,0.00403,0.5231,0.165,0.12157,0.06935,1.61287,4.03121,0.00574,0.000234386,0.000234386,0.000234386
30,2598.99,1.31243,2.02422,0.00424,0.51064,0.16725,0.12182,0.06879,1.63356,4.00396,0.00584,0.000223971,0.000223971,0.000223971
31,2686.21,1.31183,2.03102,0.00454,0.53461,0.16942,0.12741,0.07483,1.62833,3.98589,0.00583,0.000213556,0.000213556,0.000213556
32,2772.43,1.30763,1.99463,0.00452,0.53698,0.17678,0.14031,0.0789,1.63924,3.93287,0.00588,0.000203141,0.000203141,0.000203141
33,2855.93,1.30804,2.02186,0.00453,0.54458,0.17571,0.14558,0.08172,1.64615,3.90262,0.00592,0.000192726,0.000192726,0.000192726
34,2942.53,1.23917,1.95826,0.00426,0.69046,0.16494,0.14775,0.08242,1.64596,3.90782,0.00587,0.000182312,0.000182312,0.000182312
35,3026.58,1.26233,2.0029,0.0043,0.69549,0.17186,0.14324,0.0816,1.6445,3.88073,0.00592,0.000171897,0.000171897,0.000171897
36,3110.65,1.25194,2.05966,0.00472,0.53657,0.16488,0.13576,0.07583,1.63912,3.84117,0.00578,0.000161482,0.000161482,0.000161482
37,3194.77,1.31381,2.04702,0.00431,0.42675,0.18735,0.1332,0.07742,1.63591,3.8242,0.00573,0.000151067,0.000151067,0.000151067
38,3281.83,1.18793,1.79443,0.00416,0.41518,0.2048,0.13507,0.08084,1.6261,3.83862,0.00569,0.000140652,0.000140652,0.000140652
39,3369.77,1.34544,1.79632,0.00424,0.40743,0.21501,0.13569,0.07875,1.61697,3.84814,0.00567,0.000130238,0.000130238,0.000130238
40,3455.13,1.19276,1.95542,0.00458,0.41956,0.21349,0.14082,0.08038,1.61557,3.84811,0.0057,0.000119823,0.000119823,0.000119823
41,3536.27,1.22343,2.33794,0.00555,0.40038,0.21533,0.14044,0.08147,1.62474,3.84329,0.0058,0.000109408,0.000109408,0.000109408
42,3619.23,1.26622,2.33246,0.00524,0.38363,0.21535,0.13098,0.07521,1.63878,3.82872,0.00587,9.89932e-05,9.89932e-05,9.89932e-05
43,3700.53,1.21484,2.3631,0.00561,0.37957,0.19861,0.10816,0.06033,1.66567,3.85994,0.006,8.85784e-05,8.85784e-05,8.85784e-05
44,3780.72,1.22481,2.27385,0.00551,0.36456,0.19484,0.10259,0.05539,1.68067,3.85605,0.00612,7.81636e-05,7.81636e-05,7.81636e-05
45,3864.32,1.26318,2.11825,0.00506,0.35981,0.17439,0.10103,0.05371,1.68069,3.85423,0.0061,6.77488e-05,6.77488e-05,6.77488e-05
46,3947.94,1.2656,2.10871,0.00495,0.35721,0.17339,0.09818,0.05161,1.68944,3.8576,0.00611,5.7334e-05,5.7334e-05,5.7334e-05
47,4029.49,1.25983,2.05969,0.00491,0.35887,0.18074,0.09603,0.05079,1.69397,3.85253,0.00612,4.69192e-05,4.69192e-05,4.69192e-05
48,4110.63,1.20507,2.54492,0.00617,0.3527,0.17442,0.09688,0.05244,1.69552,3.8249,0.00612,3.65044e-05,3.65044e-05,3.65044e-05
49,4191.62,1.2477,2.05453,0.00504,0.35374,0.17253,0.09785,0.05241,1.69671,3.82813,0.00611,2.60896e-05,2.60896e-05,2.60896e-05
50,4272.6,1.1741,2.5478,0.00579,0.3592,0.17027,0.09493,0.04987,1.69257,3.83447,0.0061,1.56748e-05,1.56748e-05,1.56748e-05
