epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,376.655,1.74658,4.1056,1.34977,0.22056,0.06061,0.02026,0.01778,0.82238,7.22122,1.28244,4.734e-05,4.734e-05,4.734e-05
2,717.478,1.43067,2.70966,1.1481,0.0031,0.06061,0.00284,0.0021,0.80706,9.66164,1.2694,9.79612e-05,9.79612e-05,9.79612e-05
3,1009.99,1.42759,2.14015,1.09799,0.00201,0.06061,0.00037,0.00022,0.79198,10.357,1.23526,0.000146499,0.000146499,0.000146499
4,1313.98,1.44089,1.71454,1.10555,0.36015,0.01299,0.02214,0.02038,0.89837,10.1873,1.33642,0.000192955,0.000192955,0.000192955
5,1605.62,1.34136,1.51385,1.04382,0.07613,0.02597,0.02214,0.01993,0.9802,10.8081,1.46295,0.000237327,0.000237327,0.000237327
6,1872.27,1.2693,1.5196,1.03756,0.02857,0.02597,0.01107,0.01064,0.81728,8.51738,1.25632,0.000279616,0.000279616,0.000279616
7,2141.47,1.33146,1.41107,1.06288,0.23374,0.07359,0.03229,0.02452,0.79433,6.6529,1.25039,0.000319823,0.000319823,0.000319823
8,2413.19,1.34283,1.4266,1.05879,0.14633,0.01299,0.00137,0.00119,0.88366,7.62716,1.40578,0.000357946,0.000357946,0.000357946
9,2704.55,1.32032,1.2379,1.03938,0.84559,0.30195,0.35253,0.30415,0.96648,5.64557,1.44789,0.000393987,0.000393987,0.000393987
