epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,290.604,1.67427,4.51494,1.25034,0,0,0,0,0.80971,4.40691,0.93063,3.682e-05,3.682e-05,3.682e-05
2,503.497,1.47682,4.328,1.09084,0,0,0,0,0.79862,4.27333,0.88509,7.73378e-05,7.73378e-05,7.73378e-05
3,606.023,1.57837,4.16835,1.10776,0,0,0,0,0.83317,4.19403,0.86701,0.000116189,0.000116189,0.000116189
4,671.214,1.42749,3.93499,1.03198,0.13231,0.28633,0.12285,0.09044,0.8548,4.12665,0.86254,0.000153374,0.000153374,0.000153374
5,736.844,1.42367,3.7248,1.04206,0.07951,0.47013,0.18823,0.12676,0.82101,4.03946,0.85339,0.000188893,0.000188893,0.000188893
6,822.392,1.47124,3.52653,1.06147,0.07144,0.3847,0.17105,0.11977,0.87009,3.95991,0.86742,0.000222745,0.000222745,0.000222745
7,909.335,1.40807,3.26251,1.02759,0.06085,0.3758,0.25008,0.15979,0.81977,3.85003,0.85624,0.000254931,0.000254931,0.000254931
8,997.45,1.43501,3.09246,1.04588,0.06864,0.447,0.29408,0.17926,0.89376,3.72362,0.86997,0.000285451,0.000285451,0.000285451
9,1082.96,1.42584,2.7997,1.02803,0.07178,0.47306,0.30387,0.21923,0.8968,3.55306,0.87294,0.000314304,0.000314304,0.000314304
10,1173.74,1.39714,2.74757,1.05473,0.93463,0.20631,0.32605,0.22759,0.8732,3.35768,0.88819,0.000341491,0.000341491,0.000341491
11,1362.65,1.40009,2.48291,1.05074,0.93814,0.24691,0.37774,0.27373,0.83386,2.99544,0.88196,0.000367011,0.000367011,0.000367011
12,1630.1,1.39002,2.32291,1.03497,0.87827,0.28725,0.35122,0.23024,0.98715,2.80509,0.91091,0.000390865,0.000390865,0.000390865
13,2034.58,1.40073,2.06034,1.06274,0.63667,0.29164,0.39835,0.29485,0.82414,2.50591,0.90201,0.000401022,0.000401022,0.000401022
14,2237.42,1.38166,2.18311,1.05212,0.63531,0.3796,0.42571,0.33116,0.77119,2.38029,0.90694,0.000390608,0.000390608,0.000390608
15,2374.81,1.317,2.00855,1.05976,0.77448,0.36241,0.40092,0.31086,0.84972,2.30926,0.93325,0.000380193,0.000380193,0.000380193
16,2471.11,1.33725,1.96894,1.06878,0.79938,0.42707,0.44007,0.33297,0.82977,2.13063,0.93124,0.000369778,0.000369778,0.000369778
17,2578.79,1.33856,1.91729,1.03132,0.68009,0.44814,0.4661,0.38141,0.76665,1.90289,0.92143,0.000359363,0.000359363,0.000359363
18,2652.89,1.31438,1.71446,1.04285,0.65106,0.53383,0.48592,0.36282,0.81604,1.58327,0.92992,0.000348948,0.000348948,0.000348948
19,2727.05,1.2742,1.76358,1.03079,0.79857,0.47336,0.49395,0.35448,0.87754,1.33061,0.94263,0.000338534,0.000338534,0.000338534
20,2797.63,1.28752,1.60883,1.01985,0.77579,0.48228,0.50895,0.39386,0.79926,1.23203,0.92553,0.000328119,0.000328119,0.000328119
21,2871.55,1.31293,1.52312,1.02392,0.70718,0.47495,0.5185,0.41278,0.77535,1.22691,0.91588,0.000317704,0.000317704,0.000317704
