epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.628,1.68737,4.55992,1.29829,0,0,0,0,0.92739,4.46569,1.42779,3.156e-05,3.156e-05,3.156e-05
2,172.659,1.38441,4.36807,1.09292,0,0,0,0,0.67127,4.31707,1.26762,6.70261e-05,6.70261e-05,6.70261e-05
3,266.63,1.31656,4.22151,1.04774,0,0,0,0,0.54496,4.263,1.11175,0.000101034,0.000101034,0.000101034
4,349.587,1.36479,4.00587,1.06022,0.11667,0.13889,0.10806,0.08258,0.54996,4.26493,1.06893,0.000133584,0.000133584,0.000133584
5,429.7,1.41505,3.88929,1.05924,0.07757,0.5,0.19766,0.16263,0.52293,4.2168,1.04991,0.000164676,0.000164676,0.000164676
6,499.683,1.33031,3.71708,1.03471,0.04597,0.5,0.19067,0.15612,0.58492,4.14427,1.09076,0.00019431,0.00019431,0.00019431
7,590.153,1.36063,3.45124,1.00962,0.05821,0.58333,0.23494,0.16578,0.78831,4.20492,1.31241,0.000222485,0.000222485,0.000222485
8,667.483,1.37721,3.35034,1.02412,0.03764,0.40278,0.21219,0.14574,0.79008,4.17829,1.30139,0.000249203,0.000249203,0.000249203
9,738.096,1.38456,3.1929,1.01531,0.03676,0.45833,0.24542,0.16417,0.91026,3.94723,1.37473,0.000274463,0.000274463,0.000274463
10,819.983,1.36488,2.77401,1.01165,0.02785,0.40278,0.24178,0.18411,0.83565,3.9634,1.32626,0.000298264,0.000298264,0.000298264
11,898.241,1.367,2.83364,1.0073,0.03355,0.5,0.2753,0.21157,0.74494,3.85976,1.2527,0.000320608,0.000320608,0.000320608
12,989.656,1.428,2.61426,1.03465,0.95635,0.15963,0.29085,0.22632,0.72078,3.66067,1.1845,0.000341493,0.000341493,0.000341493
13,1051.62,1.37022,2.43762,1.00945,0.95898,0.21307,0.29185,0.23507,0.77338,3.74539,1.22478,0.00036092,0.00036092,0.00036092
14,1107.11,1.34388,2.27927,0.99012,0.95541,0.18056,0.26771,0.2048,0.91683,3.79327,1.34229,0.000378889,0.000378889,0.000378889
15,1173.16,1.33436,2.07751,1.00158,0.91663,0.21198,0.32168,0.25841,0.8767,3.43451,1.29107,0.000380193,0.000380193,0.000380193
16,1252.39,1.32977,2.02287,0.99767,0.97952,0.23518,0.34261,0.27579,0.81189,2.97306,1.25722,0.000369778,0.000369778,0.000369778
17,1330.54,1.3453,1.99277,1.02765,0.97212,0.25434,0.33535,0.27408,0.81305,2.85472,1.25004,0.000359363,0.000359363,0.000359363
18,1406.37,1.30273,2.04534,1.03058,0.93618,0.23611,0.32506,0.26904,0.87912,2.81091,1.28023,0.000348948,0.000348948,0.000348948
19,1486.98,1.30195,1.81219,1.04948,0.95569,0.22222,0.31599,0.25555,0.93848,2.70998,1.31899,0.000338534,0.000338534,0.000338534
20,1573.53,1.28951,1.60189,1.01826,0.95006,0.22222,0.3315,0.27806,0.81877,2.73746,1.22235,0.000328119,0.000328119,0.000328119
21,1648.17,1.21833,1.60969,1.01506,0.96236,0.27264,0.36078,0.30531,0.76282,3.00548,1.18009,0.000317704,0.000317704,0.000317704
22,1734.75,1.20108,1.66471,1.0082,0.91906,0.30583,0.34375,0.2842,0.79393,3.29368,1.2197,0.000307289,0.000307289,0.000307289
23,1831.77,1.2767,1.69833,1.02941,0.91536,0.31304,0.35567,0.28928,0.83701,2.96324,1.29131,0.000296874,0.000296874,0.000296874
24,2219.34,1.20005,1.57651,1.01109,0.93004,0.32979,0.34135,0.28474,0.7538,2.32112,1.2234,0.00028646,0.00028646,0.00028646
25,2580.96,1.18307,1.59313,1.01043,0.91026,0.3175,0.33861,0.27903,0.7644,2.26721,1.24552,0.000276045,0.000276045,0.000276045
26,2666.04,1.22924,1.61614,1.00542,1,0.24074,0.34802,0.29454,0.72104,2.39692,1.19619,0.00026563,0.00026563,0.00026563
27,2739.46,1.22487,1.54869,1.02631,0.91858,0.31507,0.37842,0.31007,0.78451,2.68843,1.25986,0.000255215,0.000255215,0.000255215
