epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.001,1.7321,4.19854,1.303,0.23228,0.27601,0.14324,0.10655,0.66689,2.19814,0.92966,3.682e-05,3.682e-05,3.682e-05
2,376.452,1.45892,2.55263,1.11857,0.53883,0.16851,0.17377,0.13911,0.72105,3.8383,0.93035,7.73378e-05,7.73378e-05,7.73378e-05
3,639.463,1.50412,2.23608,1.12043,0.45568,0.29135,0.23123,0.18695,0.71415,2.23076,0.92838,0.000116189,0.000116189,0.000116189
4,767.926,1.39284,1.71602,1.07619,0.73453,0.23164,0.25722,0.21133,0.71453,1.85828,0.92942,0.000153374,0.000153374,0.000153374
5,938.355,1.3021,1.50685,1.06601,0.84262,0.24772,0.29531,0.238,0.71336,1.37609,0.92977,0.000188893,0.000188893,0.000188893
6,1142.38,1.36233,1.55289,1.05018,0.79985,0.32115,0.29549,0.23993,0.73922,1.25287,0.9269,0.000222745,0.000222745,0.000222745
7,1321.12,1.27544,1.38854,1.03527,0.84679,0.54873,0.54296,0.42914,0.72049,1.22777,0.9264,0.000254931,0.000254931,0.000254931
8,1454.61,1.27115,1.29794,1.04637,0.62816,0.63714,0.5713,0.46193,0.79,1.08206,0.94758,0.000285451,0.000285451,0.000285451
9,1991.59,1.243,1.19077,1.0133,0.86102,0.55246,0.57686,0.48706,0.76992,1.13234,0.94014,0.000314304,0.000314304,0.000314304
10,2451.69,1.23261,1.20635,1.02919,0.77517,0.58324,0.58972,0.48027,0.7628,1.15162,0.9346,0.000341491,0.000341491,0.000341491
11,2911.51,1.2263,1.11308,1.0333,0.67623,0.59685,0.59867,0.48898,0.71823,0.97516,0.92253,0.000367011,0.000367011,0.000367011
12,3242.36,1.22762,1.04676,1.01678,0.54582,0.66543,0.59172,0.47155,0.84484,1.04404,0.95905,0.000390865,0.000390865,0.000390865
13,3783.59,1.24827,0.97987,1.02274,0.69514,0.57984,0.59336,0.47565,0.76213,0.90228,0.93456,0.000401022,0.000401022,0.000401022
14,4030.31,1.22475,1.01155,1.01787,0.75024,0.57368,0.62033,0.51604,0.73253,0.9958,0.93436,0.000390608,0.000390608,0.000390608
15,4332.83,1.20287,1.0143,1.02428,0.73443,0.5661,0.64158,0.50089,0.83563,0.91771,0.96052,0.000380193,0.000380193,0.000380193
16,4813.69,1.20297,0.91234,1.02757,0.77251,0.58372,0.67506,0.55584,0.73246,0.95913,0.93807,0.000369778,0.000369778,0.000369778
17,5392.79,1.20612,0.98721,1.00393,0.75597,0.59436,0.64462,0.52914,0.72093,0.94986,0.93554,0.000359363,0.000359363,0.000359363
