epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.809,1.39911,4.02902,1.19427,0.02778,0.00221,0.00178,0.00158,1.97051,4.24669,1.39598,4.208e-05,4.208e-05,4.208e-05
2,854.329,1.36697,2.43545,1.11141,0,0,0,0,1.77935,5.19513,1.26363,8.76495e-05,8.76495e-05,8.76495e-05
3,1152.03,1.32172,2.11792,1.09149,0,0,0,0,1.72348,4.08203,1.23975,0.000131344,0.000131344,0.000131344
