epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.3447,1.92782,4.67167,1.40088,0,0,0,0,0.63546,4.41463,0.87357,1.578e-05,1.578e-05,1.578e-05
2,85.2388,1.79668,4.62622,1.34555,0,0,0,0,0.61182,4.40201,0.86179,3.6091e-05,3.6091e-05,3.6091e-05
3,129.126,1.67203,4.55062,1.27434,0,0,0,0,0.6747,4.39613,0.86251,5.55687e-05,5.55687e-05,5.55687e-05
4,171.926,1.59313,4.44943,1.19147,0,0,0,0,0.7372,4.37499,0.87016,7.42133e-05,7.42133e-05,7.42133e-05
5,206.281,1.49863,4.28148,1.12981,0,0,0,0,0.71174,4.35606,0.86318,9.20248e-05,9.20248e-05,9.20248e-05
6,241.223,1.54723,4.32425,1.13961,0,0,0,0,0.71261,4.31059,0.85788,0.000109003,0.000109003,0.000109003
7,274.693,1.54489,4.13347,1.11445,0,0,0,0,0.73119,4.23839,0.85134,0.000125148,0.000125148,0.000125148
8,316.904,1.57365,4.10008,1.08324,0.15299,0.11793,0.07389,0.06332,0.7295,4.14801,0.83687,0.00014046,0.00014046,0.00014046
9,357.953,1.52366,3.94277,1.05322,0.09381,0.18726,0.09498,0.08006,0.78007,4.08222,0.8398,0.000154939,0.000154939,0.000154939
10,397.071,1.51356,3.90064,1.04718,0.08935,0.32577,0.12432,0.09791,0.85168,4.02657,0.852,0.000168584,0.000168584,0.000168584
11,436.437,1.50153,3.73847,1.04527,0.09487,0.38329,0.14687,0.10945,0.8611,3.95712,0.84368,0.000181396,0.000181396,0.000181396
12,474.415,1.53198,3.6474,1.05688,0.0895,0.40096,0.16155,0.12095,0.83005,3.83858,0.83393,0.000193375,0.000193375,0.000193375
13,510.39,1.48114,3.53126,1.03387,0.09579,0.43088,0.18181,0.12535,0.85228,3.72907,0.83445,0.000204521,0.000204521,0.000204521
14,549.304,1.41389,3.4018,1.02256,0.10665,0.46228,0.18866,0.13475,0.85007,3.67882,0.83367,0.000214834,0.000214834,0.000214834
15,591.419,1.56307,3.37545,1.04261,0.11661,0.46867,0.19619,0.14844,0.83543,3.59968,0.8347,0.000224314,0.000224314,0.000224314
16,640.832,1.56194,3.44307,1.05619,0.11944,0.45331,0.19567,0.15291,0.8163,3.54895,0.83291,0.00023296,0.00023296,0.00023296
17,676.53,1.52548,3.2746,1.03512,0.11263,0.43327,0.19392,0.15406,0.80178,3.50631,0.83173,0.000240773,0.000240773,0.000240773
18,713.889,1.48787,3.13356,1.02779,0.1072,0.47197,0.21892,0.17176,0.79732,3.44154,0.84092,0.000247753,0.000247753,0.000247753
