epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4917,1.79789,4.70259,1.38449,0,0,0,0,1.80166,4.63584,1.16058,5.26e-06,5.26e-06,5.26e-06
2,47.5497,1.9554,4.75017,1.41794,0,0,0,0,1.77618,4.63893,1.15322,1.54676e-05,1.54676e-05,1.54676e-05
3,63.7975,1.90281,4.66151,1.43287,0,0,0,0,1.74614,4.63836,1.14747,2.52585e-05,2.52585e-05,2.52585e-05
4,80.6446,1.86218,4.59818,1.39454,0,0,0,0,1.73009,4.63922,1.14818,3.46329e-05,3.46329e-05,3.46329e-05
5,95.4731,1.77092,4.58695,1.32738,0,0,0,0,1.73178,4.64194,1.15235,4.35907e-05,4.35907e-05,4.35907e-05
6,110.515,1.83082,4.52268,1.29589,0,0,0,0,1.76239,4.64056,1.16174,5.21319e-05,5.21319e-05,5.21319e-05
7,125.971,1.62555,4.38781,1.20428,0,0,0,0,1.78278,4.63877,1.16883,6.02565e-05,6.02565e-05,6.02565e-05
8,144.906,1.64325,4.2348,1.22554,0,0,0,0,1.7789,4.62668,1.16462,6.79645e-05,6.79645e-05,6.79645e-05
9,160.723,1.68727,4.27338,1.20491,0,0,0,0,1.77141,4.61819,1.1596,7.52559e-05,7.52559e-05,7.52559e-05
10,182.644,1.70169,4.23292,1.17455,0,0,0,0,1.75627,4.60592,1.15059,8.21307e-05,8.21307e-05,8.21307e-05
11,203.434,1.64189,4.10232,1.18934,0,0,0,0,1.73152,4.58292,1.13464,8.85889e-05,8.85889e-05,8.85889e-05
12,225.845,1.77666,4.06254,1.18687,0.125,0.00758,0.00625,0.00521,1.6924,4.55445,1.11463,9.46306e-05,9.46306e-05,9.46306e-05
13,249.156,1.62623,3.9077,1.17377,0.09524,0.0101,0.01083,0.00914,1.66221,4.51625,1.09446,0.000100256,0.000100256,0.000100256
14,275.59,1.67671,3.90027,1.19004,0.09524,0.0303,0.02235,0.01783,1.64113,4.47149,1.07908,0.000105464,0.000105464,0.000105464
15,293.894,1.70692,3.96064,1.15657,0.15007,0.06667,0.0341,0.02631,1.62992,4.41809,1.06821,0.000110256,0.000110256,0.000110256
16,314.648,1.62069,3.71733,1.14503,0.15284,0.11001,0.05497,0.0366,1.63177,4.36427,1.06081,0.000114631,0.000114631,0.000114631
17,335.507,1.62509,3.74209,1.11625,0.13705,0.16129,0.08459,0.04946,1.64226,4.30264,1.05857,0.00011859,0.00011859,0.00011859
18,353.424,1.67592,3.62681,1.09927,0.1125,0.18056,0.10367,0.0577,1.66637,4.24665,1.06317,0.000122132,0.000122132,0.000122132
19,369.272,1.63962,3.74572,1.12136,0.117,0.19915,0.11619,0.06281,1.68576,4.19162,1.06842,0.000125257,0.000125257,0.000125257
