epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6598,1.64524,4.56047,1.25754,0,0,0,0,0.96209,4.50157,1.52681,2.63e-05,2.63e-05,2.63e-05
2,88.0616,1.39974,4.44193,1.09513,0,0,0,0,0.6514,4.40959,1.27835,5.67144e-05,5.67144e-05,5.67144e-05
3,129.712,1.44857,4.29904,1.08253,0,0,0,0,0.62955,4.36137,1.21279,8.5879e-05,8.5879e-05,8.5879e-05
4,170.951,1.29378,4.10998,1.03579,0,0,0,0,0.59525,4.3723,1.16517,0.000113794,0.000113794,0.000113794
5,211.03,1.40365,3.98355,1.04485,0.11607,0.2625,0.16696,0.13139,0.65011,4.3001,1.2215,0.000140459,0.000140459,0.000140459
6,250.484,1.26789,3.81079,1.0422,0.09697,0.6,0.2846,0.23602,0.62379,4.26133,1.25584,0.000165874,0.000165874,0.000165874
7,291.784,1.47264,3.7739,1.0394,0.09975,0.975,0.35507,0.2822,0.6657,4.17376,1.28134,0.00019004,0.00019004,0.00019004
8,334.279,1.37679,3.56925,1.02795,0.07119,0.975,0.40193,0.30457,0.74435,4.14288,1.34497,0.000212955,0.000212955,0.000212955
9,373.859,1.41981,3.33505,1.0232,0.07054,0.975,0.39489,0.28482,0.74705,4.1498,1.35849,0.000234621,0.000234621,0.000234621
10,413.397,1.44828,3.35825,1.02298,0.06468,1,0.41262,0.25245,0.79959,4.02746,1.46977,0.000255037,0.000255037,0.000255037
11,453.828,1.44977,3.11436,1.01994,0.07852,1,0.39065,0.22495,0.93205,3.94401,1.73398,0.000274204,0.000274204,0.000274204
12,494.245,1.4277,2.99878,1.0287,0.07513,1,0.38018,0.27348,0.89985,4.03336,1.52007,0.00029212,0.00029212,0.00029212
13,533.201,1.27175,2.82878,0.99973,0.07654,1,0.48378,0.31524,1.0569,4.0445,1.60033,0.000308787,0.000308787,0.000308787
14,573.184,1.34,2.6623,1.00866,0.91099,0.45,0.47981,0.35798,0.92043,3.77059,1.52309,0.000324204,0.000324204,0.000324204
15,612.267,1.423,2.66056,1.04016,0.90857,0.45,0.46056,0.3466,0.84683,3.56084,1.44775,0.000338372,0.000338372,0.000338372
16,653.977,1.39478,2.53491,1.0318,0.86273,0.45,0.41519,0.33134,0.69368,3.31068,1.23592,0.000351289,0.000351289,0.000351289
17,693.448,1.32979,2.42717,1.01695,0.86742,0.45,0.42967,0.34104,0.64789,3.31431,1.21595,0.000359363,0.000359363,0.000359363
18,733.054,1.31422,2.2836,0.99597,0.87099,0.44519,0.42796,0.35965,0.67612,3.28619,1.26099,0.000348948,0.000348948,0.000348948
19,773.21,1.33112,2.20786,1.01345,0.87463,0.45,0.42534,0.35462,0.67261,3.13286,1.27562,0.000338534,0.000338534,0.000338534
20,812.289,1.30273,2.09244,1.00774,0.86407,0.45,0.43535,0.38055,0.66094,3.03981,1.25243,0.000328119,0.000328119,0.000328119
21,853.004,1.3117,2.25045,1.00101,0.8604,0.4457,0.43225,0.37266,0.64958,3.0931,1.22887,0.000317704,0.000317704,0.000317704
22,893.016,1.2722,2.06316,1.01744,0.85867,0.44565,0.46046,0.3938,0.65546,2.94077,1.21186,0.000307289,0.000307289,0.000307289
23,934.153,1.27384,1.92892,1.0244,0.85611,0.45,0.47663,0.39667,0.63402,2.70853,1.20159,0.000296874,0.000296874,0.000296874
24,974.148,1.23835,1.8185,1.01195,0.87479,0.3875,0.47084,0.39641,0.62448,2.60676,1.23887,0.00028646,0.00028646,0.00028646
25,1014.72,1.27074,1.75796,1.01094,0.8782,0.3875,0.46316,0.36723,0.62467,2.75529,1.26767,0.000276045,0.000276045,0.000276045
26,1055.8,1.31546,1.69041,1.04552,0.87647,0.44139,0.54635,0.44663,0.67274,2.6926,1.30714,0.00026563,0.00026563,0.00026563
27,1096.09,1.20536,1.6337,1.01995,0.90207,0.44448,0.59049,0.48099,0.6867,2.61707,1.30559,0.000255215,0.000255215,0.000255215
28,1136.44,1.29251,1.63012,1.03539,0.93274,0.425,0.51014,0.42403,0.65415,2.3275,1.24978,0.0002448,0.0002448,0.0002448
29,1177.24,1.2487,1.56379,0.9973,0.90023,0.474,0.49132,0.40347,0.6586,2.28901,1.23895,0.000234386,0.000234386,0.000234386
30,1218.72,1.22102,1.68063,0.98266,0.90813,0.45,0.47147,0.4019,0.67037,2.49905,1.2782,0.000223971,0.000223971,0.000223971
31,1260.06,1.21466,1.61687,1.00192,0.92465,0.43715,0.48251,0.41347,0.63905,2.62357,1.25691,0.000213556,0.000213556,0.000213556
32,1302.2,1.19673,1.48212,0.97999,0.90248,0.40722,0.48587,0.41365,0.69001,2.77193,1.2966,0.000203141,0.000203141,0.000203141
33,1342.95,1.18422,1.496,1.01614,0.98431,0.38183,0.523,0.42457,0.71035,2.6794,1.32434,0.000192726,0.000192726,0.000192726
34,1384.64,1.19907,1.37922,0.99631,0.91119,0.44399,0.54792,0.45833,0.65805,2.32259,1.31465,0.000182312,0.000182312,0.000182312
35,1426.13,1.21758,1.43892,0.99232,0.93228,0.42371,0.55771,0.46349,0.6863,2.21607,1.32146,0.000171897,0.000171897,0.000171897
36,1466.38,1.19584,1.43352,1.0187,0.9737,0.41211,0.56891,0.48174,0.64546,2.1324,1.2586,0.000161482,0.000161482,0.000161482
37,1507.41,1.23602,1.30902,0.99682,0.63231,0.725,0.57006,0.49259,0.6217,2.0747,1.23044,0.000151067,0.000151067,0.000151067
38,1547.34,1.20852,1.4899,0.98529,0.66891,0.71328,0.57608,0.50473,0.59634,2.2234,1.18003,0.000140652,0.000140652,0.000140652
39,1590.1,1.21676,1.37478,1.02554,0.99457,0.41122,0.56781,0.49576,0.56602,2.31472,1.15221,0.000130238,0.000130238,0.000130238
40,1656.54,1.18938,1.37675,0.9914,0.65895,0.44393,0.55844,0.49738,0.54587,2.41004,1.12166,0.000119823,0.000119823,0.000119823
41,1719.6,1.19956,1.35523,1.01561,0.74054,0.46352,0.56093,0.49027,0.55029,2.396,1.11696,0.000109408,0.000109408,0.000109408
42,1775.56,1.208,1.38327,1.05783,0.71566,0.47462,0.55423,0.48159,0.56397,2.45175,1.12807,9.89932e-05,9.89932e-05,9.89932e-05
43,1823.65,1.1977,1.3185,1.02739,0.7135,0.47004,0.55881,0.47088,0.57258,2.4759,1.13785,8.85784e-05,8.85784e-05,8.85784e-05
44,1868.94,1.15265,1.29704,0.99356,0.40194,0.70365,0.53959,0.46036,0.58779,2.45883,1.17082,7.81636e-05,7.81636e-05,7.81636e-05
