epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,19727.9,0.41944,0.50703,0.13374,0.53601,0.79436,0.64672,0.49243,0.42109,0.53816,0.16451,0.000312497,0.000312497,0.000312497
43,20215.9,0.43412,0.5285,0.11676,0.56584,0.77594,0.69342,0.51892,0.40924,0.51335,0.16533,0.000307289,0.000307289,0.000307289
44,20692.4,0.42901,0.48794,0.12793,0.53923,0.74695,0.68417,0.52601,0.39463,0.53163,0.16725,0.000302082,0.000302082,0.000302082
45,21179.2,0.43517,0.53655,0.13356,0.5129,0.66456,0.60629,0.4616,0.41439,0.59399,0.17759,0.000296874,0.000296874,0.000296874
46,21650.4,0.43313,0.50465,0.12113,0.5939,0.61548,0.58131,0.45885,0.39181,0.59804,0.16395,0.000291667,0.000291667,0.000291667
47,22111.7,0.39118,0.51434,0.11505,0.61437,0.71257,0.64876,0.50259,0.3889,0.56347,0.15792,0.00028646,0.00028646,0.00028646
48,22581.1,0.42919,0.50354,0.12738,0.61923,0.71257,0.66025,0.50883,0.38324,0.56233,0.15258,0.000281252,0.000281252,0.000281252
49,23047.9,0.38639,0.49178,0.10769,0.62732,0.74048,0.6781,0.5383,0.36166,0.56043,0.14432,0.000276045,0.000276045,0.000276045
50,23509,0.43957,0.51207,0.12747,0.64299,0.72832,0.67792,0.54983,0.35536,0.56022,0.14818,0.000270837,0.000270837,0.000270837
51,23968,0.40139,0.50029,0.10609,0.65353,0.73212,0.6872,0.54572,0.36931,0.56803,0.15276,0.00026563,0.00026563,0.00026563
52,24425.8,0.39035,0.46884,0.11618,0.67935,0.71244,0.6886,0.52777,0.40162,0.56187,0.16478,0.000260423,0.000260423,0.000260423
53,24882.4,0.41688,0.48913,0.11759,0.66294,0.70498,0.70262,0.54611,0.38095,0.55652,0.15405,0.000255215,0.000255215,0.000255215
54,25345.4,0.42657,0.48977,0.11266,0.69001,0.70276,0.70694,0.5702,0.35049,0.53638,0.14191,0.000250008,0.000250008,0.000250008
55,25803.1,0.42963,0.47247,0.11495,0.68848,0.69102,0.69753,0.56756,0.3507,0.53353,0.14037,0.0002448,0.0002448,0.0002448
56,26256.5,0.41586,0.49789,0.11154,0.68769,0.72113,0.70897,0.56117,0.37724,0.54456,0.15692,0.000239593,0.000239593,0.000239593
57,26710.5,0.41064,0.48722,0.11614,0.69314,0.74423,0.71279,0.54332,0.40711,0.5464,0.16674,0.000234386,0.000234386,0.000234386
58,27177.8,0.41576,0.49458,0.12402,0.67702,0.75186,0.73042,0.57028,0.38671,0.54235,0.15808,0.000229178,0.000229178,0.000229178
59,27640,0.35545,0.45422,0.10439,0.67222,0.75674,0.73318,0.57485,0.37774,0.54149,0.15884,0.000223971,0.000223971,0.000223971
60,28104.6,0.40953,0.45682,0.11337,0.66644,0.77867,0.70719,0.54913,0.38182,0.55967,0.16288,0.000218763,0.000218763,0.000218763
61,28572.7,0.41172,0.47264,0.11967,0.64573,0.79095,0.70781,0.55894,0.34977,0.57559,0.14837,0.000213556,0.000213556,0.000213556
62,29038.1,0.37811,0.46302,0.10466,0.65407,0.76817,0.7191,0.55948,0.33851,0.56322,0.14105,0.000208349,0.000208349,0.000208349
63,29504.8,0.43792,0.45864,0.12625,0.71685,0.75191,0.72483,0.5623,0.32593,0.546,0.12675,0.000203141,0.000203141,0.000203141
64,29978.1,0.39587,0.46548,0.11394,0.69638,0.74343,0.71578,0.5642,0.33075,0.54866,0.12864,0.000197934,0.000197934,0.000197934
65,30444.6,0.36644,0.45213,0.10347,0.68648,0.72703,0.70974,0.55188,0.35664,0.55209,0.15032,0.000192726,0.000192726,0.000192726
66,30914.7,0.36713,0.44572,0.10408,0.66269,0.73407,0.70281,0.54778,0.35226,0.56279,0.14925,0.000187519,0.000187519,0.000187519
67,31373.6,0.35447,0.45408,0.1117,0.59275,0.74696,0.7162,0.56506,0.3482,0.58618,0.14576,0.000182312,0.000182312,0.000182312
