epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.2734,1.9078,4.65665,1.35871,0,0,0,0,0.68809,4.44209,0.90364,1.578e-05,1.578e-05,1.578e-05
2,107.649,1.74392,4.57141,1.27723,0,0,0,0,0.75602,4.39239,0.88379,3.6091e-05,3.6091e-05,3.6091e-05
3,147.794,1.60371,4.46202,1.18846,0,0,0,0,0.91239,4.37945,0.89669,5.55687e-05,5.55687e-05,5.55687e-05
4,193.062,1.57794,4.40042,1.12922,0,0,0,0,0.81018,4.28539,0.87257,7.42133e-05,7.42133e-05,7.42133e-05
5,232.047,1.49252,4.25674,1.08456,0,0,0,0,0.77551,4.22901,0.85226,9.20248e-05,9.20248e-05,9.20248e-05
6,270.334,1.53999,4.25275,1.08781,0.04762,0.00376,0.00119,0.00107,0.82626,4.18816,0.85484,0.000109003,0.000109003,0.000109003
7,308.312,1.54816,4.12549,1.07097,0.09854,0.08411,0.03354,0.02766,0.86773,4.14925,0.85229,0.000125148,0.000125148,0.000125148
8,348.334,1.56745,4.09172,1.06249,0.10534,0.26344,0.12715,0.10349,0.83525,4.10328,0.84451,0.00014046,0.00014046,0.00014046
9,387.241,1.54734,3.96039,1.04438,0.08363,0.30899,0.1449,0.11324,0.82055,4.06358,0.84418,0.000154939,0.000154939,0.000154939
10,430.909,1.52979,3.89533,1.0296,0.08687,0.3565,0.15546,0.11049,0.77239,4.00966,0.83928,0.000168584,0.000168584,0.000168584
11,473.098,1.53945,3.7305,1.03961,0.08756,0.38342,0.16654,0.12159,0.7597,3.96583,0.83814,0.000181396,0.000181396,0.000181396
12,514.48,1.52975,3.64522,1.04118,0.09054,0.39739,0.17953,0.12125,0.83904,3.95307,0.84964,0.000193375,0.000193375,0.000193375
13,573.685,1.48709,3.58363,1.01815,0.09974,0.43959,0.19382,0.13523,0.79998,3.87978,0.85128,0.000204521,0.000204521,0.000204521
