epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,307.473,1.74892,4.02232,1.33327,0.00268,0.07292,0.00398,0.00358,0.81957,8.76525,1.3083,4.208e-05,4.208e-05,4.208e-05
2,515.705,1.39875,2.67784,1.10963,0.00175,0.0625,0.0015,0.00135,0.77674,18.3807,1.25216,8.76495e-05,8.76495e-05,8.76495e-05
3,709.464,1.4062,1.994,1.10375,0.00559,0.0625,0.00619,0.00603,0.72436,13.1396,1.20998,0.000131344,0.000131344,0.000131344
4,915.209,1.28628,1.76129,1.05577,0.09916,0.02083,0.02063,0.01963,0.82202,13.8945,1.34796,0.000173164,0.000173164,0.000173164
5,1128.92,1.41676,1.69933,1.10111,0.05,0.02083,0.01562,0.01433,0.84838,10.8768,1.32737,0.00021311,0.00021311,0.00021311
6,1331.24,1.3143,1.40963,1.05649,0.12509,0.05208,0.01074,0.00966,0.93787,11.4951,1.4122,0.000251181,0.000251181,0.000251181
7,1544.83,1.33044,1.47489,1.05711,0.89974,0.15625,0.21421,0.16782,0.95061,7.4936,1.50057,0.000287377,0.000287377,0.000287377
8,1732.38,1.19967,1.30436,1.04236,0.91896,0.1875,0.19666,0.18349,0.90951,7.43127,1.42879,0.000321698,0.000321698,0.000321698
9,1933.6,1.24812,1.22808,1.01033,0.67188,0.15625,0.09634,0.07297,0.90286,8.75282,1.37432,0.000354145,0.000354145,0.000354145
10,2154.18,1.24073,1.26652,1.02801,0.76758,0.15836,0.19508,0.17659,0.88226,7.65811,1.3792,0.000384717,0.000384717,0.000384717
11,2356.61,1.23281,1.15653,1.02453,0.78306,0.15625,0.22402,0.18219,0.78626,6.99177,1.30807,0.000413415,0.000413415,0.000413415
12,2551.96,1.20953,1.12225,1.037,0.67147,0.15625,0.17405,0.15959,0.93565,6.21665,1.39796,0.000411437,0.000411437,0.000411437
13,2762.52,1.19104,1.06246,1.01672,0.45944,0.3125,0.20404,0.16928,0.93731,6.12965,1.3621,0.000401022,0.000401022,0.000401022
14,2952.42,1.19624,1.18507,1.02088,0.3425,0.35417,0.21189,0.16954,1.17408,6.91311,1.67632,0.000390608,0.000390608,0.000390608
15,3178.11,1.19932,1.04183,1.02283,0.46074,0.29167,0.21516,0.11796,1.21628,6.27248,1.75733,0.000380193,0.000380193,0.000380193
16,3364.85,1.19194,1.01068,1.0077,0.33678,0.3421,0.19002,0.14413,1.12257,5.52149,1.65286,0.000369778,0.000369778,0.000369778
17,3567.75,1.23791,0.97694,1.0158,0.33628,0.35407,0.2212,0.16256,0.98881,5.62755,1.4272,0.000359363,0.000359363,0.000359363
18,3758.01,1.16824,0.97616,0.99193,0.4747,0.29531,0.11381,0.06117,0.98909,6.31235,1.44317,0.000348948,0.000348948,0.000348948
19,4001.19,1.16625,0.95985,1.00081,0.35602,0.37463,0.11551,0.07079,0.97474,6.50563,1.45656,0.000338534,0.000338534,0.000338534
20,4202.52,1.16422,0.89163,0.99671,0.82385,0.24171,0.26259,0.1753,0.89811,5.22843,1.33745,0.000328119,0.000328119,0.000328119
21,4394.06,1.22389,0.94434,1.03093,0.8821,0.26183,0.30348,0.20935,0.85874,4.47952,1.32178,0.000317704,0.000317704,0.000317704
22,4580.41,1.1881,0.88706,1.00653,0.84059,0.19028,0.24046,0.1813,0.85059,4.82312,1.30236,0.000307289,0.000307289,0.000307289
23,4795.26,1.1889,0.89658,1.00495,0.80051,0.1875,0.20081,0.14521,0.98326,6.0337,1.40186,0.000296874,0.000296874,0.000296874
24,5031.48,1.12204,0.79777,0.9817,0.81469,0.25974,0.16243,0.13166,0.91858,6.25984,1.33767,0.00028646,0.00028646,0.00028646
25,5226.49,1.13316,0.78898,0.98365,0.81432,0.23255,0.24511,0.18706,0.90958,5.6257,1.35972,0.000276045,0.000276045,0.000276045
26,5441.87,1.10113,0.75628,0.99234,0.8436,0.3322,0.29592,0.20663,0.9992,4.47978,1.4317,0.00026563,0.00026563,0.00026563
