epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.899,1.39912,4.02906,1.19425,0.03241,0.00221,0.00178,0.00158,1.97061,4.24661,1.39603,4.208e-05,4.208e-05,4.208e-05
2,325.854,1.36744,2.43523,1.11159,0,0,0,0,1.78209,5.20631,1.26443,8.76495e-05,8.76495e-05,8.76495e-05
3,478.465,1.32192,2.11533,1.09185,0,0,0,0,1.73005,4.14856,1.24483,0.000131344,0.000131344,0.000131344
4,624.78,1.22942,1.73436,1.05416,0.04019,0.00935,0.00398,0.00255,1.81193,4.00689,1.30211,0.000173164,0.000173164,0.000173164
5,788.565,1.27999,1.45478,1.04026,0.27054,0.01375,0.00774,0.005,1.84857,4.10974,1.30517,0.00021311,0.00021311,0.00021311
6,948.334,1.18679,1.45507,1.01639,0.49699,0.00055,0.00028,0.00019,1.99438,7.34715,1.36166,0.000251181,0.000251181,0.000251181
7,1097.15,1.24383,1.29129,1.05487,0.38645,0.00275,0.00194,0.00133,1.91675,4.80021,1.35569,0.000287377,0.000287377,0.000287377
8,1248.62,1.14745,1.25752,1.04501,0.51835,0.06365,0.0285,0.01583,1.95198,4.0429,1.369,0.000321698,0.000321698,0.000321698
9,1397.93,1.16865,1.12938,1.01685,0.40821,0.04713,0.02869,0.01532,2.02964,3.16665,1.43098,0.000354145,0.000354145,0.000354145
10,1546.21,1.09011,0.99249,0.9994,0.41161,0.06078,0.02244,0.01217,1.82496,2.62506,1.29585,0.000384717,0.000384717,0.000384717
11,1697.44,1.21915,1.10776,1.03281,0.58748,0.13321,0.11618,0.06291,1.82402,2.87367,1.27704,0.000413415,0.000413415,0.000413415
12,1844.58,1.22761,1.1122,1.05614,0.37263,0.25366,0.14238,0.08047,1.75138,2.95088,1.28529,0.000411437,0.000411437,0.000411437
13,2012.49,1.1796,1.04265,1.00202,0.64534,0.17274,0.14333,0.07365,1.80218,3.011,1.33463,0.000401022,0.000401022,0.000401022
14,2157.03,1.13656,1.01994,1.02295,0.38894,0.17653,0.1278,0.06679,1.74041,3.17774,1.32992,0.000390608,0.000390608,0.000390608
15,2298.59,1.08636,0.97004,1.00293,0.09219,0.35581,0.10676,0.06456,1.61316,3.38799,1.27842,0.000380193,0.000380193,0.000380193
16,2440.65,1.17508,0.93562,0.99794,0.39933,0.20826,0.17151,0.09695,1.72093,2.9414,1.31039,0.000369778,0.000369778,0.000369778
17,2583.15,1.12533,0.98751,0.99421,0.33538,0.25463,0.18021,0.10113,1.83169,2.71545,1.37672,0.000359363,0.000359363,0.000359363
18,2731.57,1.13178,0.95664,0.99984,0.43654,0.23847,0.17733,0.10758,1.73518,2.56844,1.32427,0.000348948,0.000348948,0.000348948
19,2888.71,1.16472,0.88368,1.00916,0.42128,0.26399,0.15732,0.09867,1.72958,2.65264,1.31713,0.000338534,0.000338534,0.000338534
20,3048.29,1.06677,0.83244,0.9926,0.40867,0.2981,0.15714,0.08956,1.76353,2.68446,1.33781,0.000328119,0.000328119,0.000328119
21,3212.95,1.08635,0.85441,0.99376,0.41338,0.27827,0.1644,0.09881,1.66477,2.63096,1.30221,0.000317704,0.000317704,0.000317704
22,3369.11,1.112,0.81501,1.00498,0.60477,0.18681,0.1925,0.1066,1.67533,2.70562,1.29535,0.000307289,0.000307289,0.000307289
23,3528.12,1.15348,0.81962,0.99715,0.58503,0.15706,0.15323,0.09592,1.71105,2.76807,1.31614,0.000296874,0.000296874,0.000296874
24,3684.39,1.01916,0.8137,0.96014,0.46395,0.23593,0.18459,0.10781,1.74582,2.56646,1.32068,0.00028646,0.00028646,0.00028646
25,3845.3,1.11746,0.76334,0.97262,0.32129,0.37632,0.23398,0.1339,1.7024,2.62663,1.27213,0.000276045,0.000276045,0.000276045
